source,dest,value,interaction
Afghanistan,Australia,21968,migration
Afghanistan,Belgium,1059,migration
Afghanistan,Canada,42100,migration
Afghanistan,Czech Republic,211,migration
Afghanistan,Denmark,12293,migration
Afghanistan,Finland,580,migration
Afghanistan,France,2958,migration
Afghanistan,Germany,79444,migration
Afghanistan,Greece,567,migration
Afghanistan,Hungary,606,migration
Afghanistan,India,8414,migration
Afghanistan,Iran Islamic Rep ,1704199,migration
Afghanistan,Ireland,238,migration
Afghanistan,Italy,1382,migration
Afghanistan,Japan,710,migration
Afghanistan,Netherlands,30986,migration
Afghanistan,New Zealand,2346,migration
Afghanistan,Norway,4516,migration
Afghanistan,Philippines,973,migration
Afghanistan,Poland,162,migration
Afghanistan,Saudi Arabia,17227,migration
Afghanistan,Slovak Republic,168,migration
Afghanistan,Spain,483,migration
Afghanistan,Sweden,8504,migration
Afghanistan,Switzerland,2222,migration
Afghanistan,Tajikistan,56816,migration
Afghanistan,Turkey,10796,migration
Afghanistan,United Kingdom,61408,migration
Afghanistan,United States,61906,migration
Albania,Australia,2628,migration
Albania,Austria,2397,migration
Albania,Belgium,1884,migration
Albania,Canada,11985,migration
Albania,Cuba,107,migration
Albania,Cyprus,246,migration
Albania,Czech Republic,180,migration
Albania,Denmark,272,migration
Albania,France,3037,migration
Albania,Germany,15964,migration
Albania,Greece,676846,migration
Albania,Hungary,117,migration
Albania,Ireland,467,migration
Albania,Italy,522647,migration
Albania,Luxembourg,267,migration
Albania,Macedonia FYR,91128,migration
Albania,Netherlands,711,migration
Albania,New Zealand,118,migration
Albania,Norway,303,migration
Albania,Philippines,725,migration
Albania,Slovenia,195,migration
Albania,Spain,1847,migration
Albania,Sweden,652,migration
Albania,Switzerland,1688,migration
Albania,Turkey,3712,migration
Albania,United Kingdom,3065,migration
Albania,United States,83018,migration
Algeria,Australia,1261,migration
Algeria,Austria,734,migration
Algeria,Bahrain,2311,migration
Algeria,Belgium,21550,migration
Algeria,Canada,37543,migration
Algeria,Czech Republic,330,migration
Algeria,Denmark,1187,migration
Algeria,Egypt Arab Rep,1246,migration
Algeria,Finland,769,migration
Algeria,France,913794,migration
Algeria,Germany,21081,migration
Algeria,Greece,378,migration
Algeria,Hungary,610,migration
Algeria,Iraq,290,migration
Algeria,Ireland,1945,migration
Algeria,Israel,47199,migration
Algeria,Italy,29480,migration
Algeria,Japan,155,migration
Algeria,Jordan,2827,migration
Algeria,Luxembourg,405,migration
Algeria,Madagascar,3586,migration
Algeria,Mali,615,migration
Algeria,Mauritania,2744,migration
Algeria,Mexico,131,migration
Algeria,Netherlands,3833,migration
Algeria,New Zealand,135,migration
Algeria,Norway,1216,migration
Algeria,Philippines,674,migration
Algeria,Poland,529,migration
Algeria,Portugal,267,migration
Algeria,Spain,63346,migration
Algeria,Sudan,419,migration
Algeria,Sweden,2223,migration
Algeria,Switzerland,6748,migration
Algeria,Tunisia,12176,migration
Algeria,Turkey,726,migration
Algeria,United Kingdom,15612,migration
Algeria,United States,7306,migration
American Samoa,Australia,209,migration
American Samoa,Fiji,165,migration
American Samoa,Kiribati,110,migration
American Samoa,New Zealand,550,migration
American Samoa,Samoa,3003,migration
American Samoa,United States,41101,migration
Andorra,France,1403,migration
Andorra,Portugal,592,migration
Andorra,Spain,6171,migration
Andorra,Tanzania,438,migration
Angola,Australia,526,migration
Angola,Belgium,3041,migration
Angola,Brazil,6379,migration
Angola,Canada,3545,migration
Angola,Cape Verde,2393,migration
Angola,Chile,101,migration
Angola,Congo Rep,10573,migration
Angola,Czech Republic,136,migration
